"Id";"Riferimento";"Impronta";"Quantità";"Valore";"Produttore";
1;"J1";"MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom";1;"OUT1";;;
2;"C12,C14";"C_0402_1005Metric";2;"4.7uF";;;
3;"Q1,Q2";"IRF9530NSTRLPBF";2;"IRF9530NSTRLPBF";;;
4;"C13,C10";"C_0402_1005Metric";2;"0.1uF";;;
5;"J9";"MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom";1;"48V";;;
6;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATtiny1624-SS";;;
7;"C23";"C_0402_1005Metric";1;"1uF";;;
8;"C17,C11,C20,C15,C16,C19,C18,C21";"C_0402_1005Metric";8;"10uF";;;
9;"R6,R5";"C_0402_1005Metric";2;"1.6k";;;
10;"J10";"PinHeader_2x03_P1.27mm_Vertical";1;"Conn_02x03_Odd_Even";;;
11;"D2";"LED_0402_1005Metric";1;"LED";;;
12;"C5,C8,C3,C7,C4,C2";"C_0402_1005Metric";6;"1nF 100V";;;
13;"J2";"MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom";1;"OUT2";;;
14;"J5";"MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom";1;"GND";;;
15;"J7";"MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom";1;"3.3V";;;
16;"C1,C6";"C_0402_1005Metric";2;"10nF 100V";;;
17;"IC2";"TC4422SOIC127P600X175-8N";1;"TC4421AVOA";;;
18;"C22";"CP_Elec_8x11.9";1;"C_Polarized";;;
19;"J3";"MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom";1;"OUT4";;;
20;"C9,C25";"C_0402_1005Metric";2;"100nF 100V";;;
21;"C24";"C_0402_1005Metric";1;"1uF 100V";;;
22;"J4";"MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom";1;"OUT3";;;
23;"D1";"V20DM100C";1;"V20DM100C-M3_I";;;
24;"J8";"MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom";1;"12V";;;
25;"R3,R1";"C_0402_1005Metric";2;"0.75";;;
26;"IC1";"DRV8262";1;"DRV8262DDWR";;;
27;"IC3";"TC4422SOIC127P600X175-8N";1;"TC4422AVOA";;;
28;"J11";"PinHeader_1x01_P1.00mm_Vertical";1;"Conn_01x01";;;
29;"J6";"MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom";1;"PGND";;;
30;"R2,R4";"C_0402_1005Metric";2;"100k";;;
31;"R7";"C_0402_1005Metric";1;"10k";;;
